|2025-09-04 15:43:12  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 15:43:12  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=False   |
|2025-09-04 15:44:16  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 15:44:16  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:44:16  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:44:16  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 15:44:18  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 15:44:18  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 15:44:18  |   VCBChkController.List  |   조회된 데이터: 8건   |
|2025-09-04 15:44:18  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 15:44:18  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 15:44:18  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 15:44:21  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 15:44:21  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=False   |
|2025-09-04 17:06:02  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 17:06:02  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 17:06:02  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:06:02  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 17:06:05  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 17:06:05  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 17:06:05  |   VCBChkController.List  |   조회된 데이터: 9건   |
|2025-09-04 17:06:06  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 17:06:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:06:06  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 17:06:08  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 17:06:08  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=True   |
|2025-09-04 17:06:09  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 17:06:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:06:13  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 17:06:13  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:10:00  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 17:10:00  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 17:10:00  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:10:00  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 17:10:02  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 17:10:05  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 222   |
|2025-09-04 17:10:06  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 17:10:06  |   vcbBasicInfo Data  |   총 2 건 조회됨   |
|2025-09-04 17:10:06  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:10:06  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 17:11:53  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 17:11:53  |   vcbBasicInfo Data  |   총 2 건 조회됨   |
|2025-09-04 17:11:53  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:11:53  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 17:11:54  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 17:11:55  |   DB(VCB_BASICINFO)  |   CreateVCBBasicInfoRepo 성공: VCB Serial_No: 33   |
|2025-09-04 17:11:56  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 17:11:56  |   vcbBasicInfo Data  |   총 3 건 조회됨   |
|2025-09-04 17:11:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:11:56  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 17:12:08  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 17:12:08  |   vcbCode 조회 :   |   VCB003   |
|2025-09-04 17:12:08  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-09-04 17:12:09  |   vcbBasicInfo Data  |   총 3 건 조회됨   |
|2025-09-04 17:12:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:12:09  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 17:12:14  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 17:12:14  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB003, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=True   |
|2025-09-04 17:12:15  |   vcbBasicInfo Data  |   총 3 건 조회됨   |
|2025-09-04 17:12:15  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:12:23  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 17:12:24  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB003, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-09-04 17:12:25  |   vcbBasicInfo Data  |   총 3 건 조회됨   |
|2025-09-04 17:12:25  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 17:13:16  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 17:13:19  |   VCBChkUpdate  |   [UpdateRiskMatrixHI] code=VCB003, hi=5, baseCof=8589.562040025, pof%=100, adjustedCof=8589.56, ok=True   |
|2025-09-04 17:13:20  |   vcbBasicInfo Data  |   총 3 건 조회됨   |
|2025-09-04 17:13:20  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
