|2025-02-18 15:53:42  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 15:53:43  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 15:53:43  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 15:53:44  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 16:08:17  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:08:17  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:08:17  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:08:17  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:08:19  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:08:19  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:08:19  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:08:19  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:08:20  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 16:08:20  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 16:08:21  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 16:10:34  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:10:34  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:10:34  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:10:34  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:10:35  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 16:10:35  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 16:10:36  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 16:12:13  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:12:13  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:12:13  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:12:13  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:12:14  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 16:12:14  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 16:12:14  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 16:19:01  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:19:01  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:19:01  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:19:01  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:19:02  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 16:19:04  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:19:04  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:19:04  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:19:04  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:19:05  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 16:19:05  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 16:19:06  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 16:19:59  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:19:59  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:19:59  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:19:59  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:20:00  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 16:20:00  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 16:20:01  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 16:23:14  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:23:14  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:23:14  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:23:14  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:23:16  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 16:23:16  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 16:23:16  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 16:23:16  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 16:23:17  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 16:23:17  |   VCBChkController.List  |   조회된 데이터: 0건   |
